coin,date_added,max_supply,circulating_supply,total_supply,market_cap,Volume24h,price
DEFI,2019-08-22T00:00:00.000Z,,0.0,10000000000.0,0.0,6041.47360111,0.32024206571925
TRYB,2020-01-28T00:00:00.000Z,,0.0,0.0,0.0,6034.09181377,0.12430328825525
SQRT,2021-04-07T00:00:00.000Z,50000000000.0,0.0,0.0,0.0,6036.45209774,4.88226384e-06
STP,2020-06-29T00:00:00.000Z,21000000.0,0.0,21000000.0,0.0,5960.52538464,16.19744770070875
YBEAR,2021-04-07T00:00:00.000Z,0.0,0.0,0.0,0.0,5966.15437973,0.04616867742226
CGT,2020-12-29T00:00:00.000Z,100000000.0,0.0,0.0,0.0,5902.44591114,0.68786289148049
AMZ,2021-01-13T00:00:00.000Z,2100000000.0,0.0,0.0,0.0,5836.24682291,0.00030490429971
NYC,2014-05-06T00:00:00.000Z,,0.0,143761098437.998,0.0,5815.02346151,5.367540823e-05
gKIMCHI,2020-09-08T00:00:00.000Z,,0.0,313206189.101118,0.0,5795.8710153,0.00031473756535
ECU,2020-07-21T00:00:00.000Z,50000000.0,0.0,50000000.0,0.0,5751.57570276,1150.3151405511178
XPB,2021-03-10T00:00:00.000Z,2000000.0,0.0,0.0,0.0,5696.50838043,0.80416818142348
SAV3,2020-11-16T00:00:00.000Z,,0.0,26734226.0,0.0,5663.73960031,0.07972788108059
50X,2021-03-18T00:00:00.000Z,,0.0,0.0,0.0,5663.54406189,0.17814276026701
YAM,2020-08-11T00:00:00.000Z,,0.0,32575725.0,0.0,5630.50577516,2.43003465932759
KIAN,2021-04-16T00:00:00.000Z,,0.0,0.0,0.0,5610.66171677,0.09889803769189
IOEX,2019-08-25T00:00:00.000Z,,0.0,200000000.0,0.0,5569.92409807,0.06029880356745
QBX,2019-07-16T00:00:00.000Z,,0.0,1380392157.0,0.0,5582.53403021,0.0150410243301
ASSY,2021-03-19T00:00:00.000Z,4064648.0,0.0,0.0,0.0,5492.98165283,1.67990226315567
UOP,2020-12-30T00:00:00.000Z,100000000.0,0.0,0.0,0.0,5425.25286637,0.45497511002304
WDP,2020-12-05T00:00:00.000Z,3950.0,0.0,0.0,0.0,5337.4831858,14.83970555457673
AVS,2021-03-16T00:00:00.000Z,10000000.0,0.0,0.0,0.0,5284.08997275,0.69441548264139
EC,2021-03-16T00:00:00.000Z,38615383.0,0.0,0.0,0.0,5186.13632311,0.05946496613535
TAT,2020-10-28T00:00:00.000Z,200000000.0,0.0,0.0,0.0,5176.67215063,0.05426759765216
SPIZ,2020-08-17T00:00:00.000Z,300000000.0,0.0,0.0,0.0,5068.09456666,0.00469525965751
NEWW,2021-04-01T00:00:00.000Z,12245487.0,0.0,0.0,0.0,5062.12266989,0.096528700389
TERN,2018-06-26T00:00:00.000Z,,0.0,899921008.0,0.0,5046.05346392,0.01533433508506
MINTY,2021-03-04T00:00:00.000Z,100000000.0,0.0,0.0,0.0,5015.00329138,1.44841913219798
HAUS,2021-03-30T00:00:00.000Z,,0.0,0.0,0.0,5016.75434722,37.4777928192738
XNODE,2021-02-02T00:00:00.000Z,210000000.0,0.0,0.0,0.0,5002.50830967,0.13795500246265
SAM,2020-09-21T00:00:00.000Z,,0.0,30000.0,0.0,4912.05384004,14.81144885812578
BNP,2019-11-05T00:00:00.000Z,,0.0,30000000000.0,0.0,4842.51279217,4.59990873e-05
WANLINK,2021-03-02T00:00:00.000Z,210000000.0,0.0,0.0,0.0,4763.9950856,38.68355812092076
BVOL,2020-05-05T00:00:00.000Z,,0.0,82.9259,0.0,4647.23852068,685.9793315950093
STPL,2020-10-07T00:00:00.000Z,2000000000.0,0.0,2000000000.0,0.0,4598.96173577,0.16049062215538
OIL,2021-02-19T00:00:00.000Z,100000.0,0.0,0.0,0.0,4611.24934718,9.17589097280889
PLBT,2017-07-06T00:00:00.000Z,,0.0,3969564.998325,0.0,4523.03578677,2.16157627995726
BSJ,2021-04-14T00:00:00.000Z,155000000.0,0.0,0.0,0.0,4437.46230491,0.01036623114681
PFI,2021-02-02T00:00:00.000Z,11701.0,0.0,0.0,0.0,4435.93839218,44.48964675351399
SPHR,2015-05-02T00:00:00.000Z,,0.0,12484343.997319,0.0,4422.50358895,0.37380855799125
UTNP,2018-02-15T00:00:00.000Z,4997891952.0,0.0,4997891952.0,0.0,4335.4207774,0.00404432872294
LEVELG,2020-05-13T00:00:00.000Z,21000000.0,0.0,20999998.0,0.0,4257.57013458,0.14787566589104
